     INDEX             SIGMA               VAI              VFIT
       404      0.503792E+00     -0.978397E+01     -0.314640E+01
       405      0.502080E+00     -0.538642E+01     -0.201790E+01
       406      0.346350E+00      0.576717E+03      0.428656E+03
       407      0.582356E-01      0.986157E+04      0.100635E+05
       408      0.500010E+00     -0.250734E-01     -0.166999E+01
       409      0.388712E+00      0.372191E+03      0.288135E+03
       410      0.507183E+00     -0.184124E+02     -0.268053E+02
       411      0.499929E+00      0.183494E+00     -0.164651E+01
       412      0.502364E+00     -0.611809E+01     -0.238892E+01
       413      0.500035E+00     -0.898488E-01     -0.166998E+01
       414      0.165578E+00      0.262564E+04      0.257664E+04
       415      0.504431E+00     -0.114192E+02      0.997914E+00
       416      0.507210E+00     -0.184803E+02      0.289850E+01
       417      0.440485E+00      0.175648E+03      0.208307E+03
       418      0.500022E+00     -0.574206E-01     -0.166999E+01
       419      0.500047E+00     -0.122921E+00     -0.166997E+01
       420      0.118806E+00      0.417111E+04      0.388613E+04
       421      0.520487E+00     -0.511685E+02     -0.904027E+02
       422      0.249282E+00      0.130749E+04      0.134117E+04
       423      0.504445E+00     -0.114553E+02     -0.267296E+02
       424      0.901072E-01      0.591363E+04      0.582948E+04
       425      0.845070E-01      0.639167E+04      0.675020E+04
       426      0.500020E+00     -0.510114E-01     -0.167001E+01
       427      0.286753E+00      0.966762E+03      0.110069E+04
       428      0.511748E+00     -0.298438E+02     -0.854734E+02
       429      0.499776E+00      0.583261E+00     -0.169861E+01
       430      0.500548E+00     -0.142252E+01     -0.162215E+01
       431      0.221398E+00      0.163589E+04      0.131107E+04
       432      0.526391E-01      0.110482E+05      0.119674E+05
       433      0.505469E+00     -0.140658E+02     -0.862747E+01
       434      0.501091E+00     -0.283167E+01      0.388387E+01
       435      0.216825E+00      0.169781E+04      0.138964E+04
       436      0.491305E+00      0.230070E+02     -0.151572E+02
       437      0.498896E+00      0.287606E+01     -0.161479E+01
       438      0.500501E+00     -0.130178E+01     -0.169016E+01
       439      0.333299E+00      0.650200E+03      0.882621E+03
       440      0.201419E+00      0.192710E+04      0.225456E+04
       441      0.500145E+00     -0.377876E+00     -0.167001E+01
       442      0.499951E+00      0.127840E+00     -0.167004E+01
       443      0.569653E+00     -0.158954E+03     -0.168721E+03
       444      0.194604E+00      0.204012E+04      0.236160E+04
       445      0.220181E+00      0.165212E+04      0.109792E+04
       446      0.369945E+00      0.457016E+03      0.472728E+03
       447      0.499814E+00      0.483167E+00     -0.166454E+01
       448      0.551558E-01      0.104848E+05      0.118883E+05
       449      0.500415E+00     -0.107763E+01     -0.195773E+01
       450      0.500708E+00     -0.183839E+01     -0.164878E+01
       451      0.500157E+00     -0.408505E+00     -0.166173E+01
       452      0.500289E+00     -0.750474E+00     -0.170690E+01
       453      0.668497E-01      0.842330E+04      0.814854E+04
       454      0.154449E+00      0.290851E+04      0.281208E+04
       455      0.553973E+00     -0.126657E+03     -0.116892E+03
       456      0.133308E+00      0.357594E+04      0.412482E+04
       457      0.558943E+00     -0.137090E+03     -0.127431E+03
       458      0.499671E+00      0.855200E+00     -0.157634E+01
       459      0.499718E+00      0.732987E+00     -0.321336E+01
       460      0.500010E+00     -0.267478E-01     -0.166717E+01
       461      0.318699E+00      0.739544E+03      0.543667E+03
       462      0.500445E+00     -0.115695E+01     -0.164019E+01
       463      0.530919E+00     -0.757079E+02     -0.707477E+02
       464      0.510466E+00     -0.266545E+02     -0.469415E+01
       465      0.506538E+00     -0.167790E+02      0.189965E+01
       466      0.189143E+00      0.213655E+04      0.234136E+04
       467      0.166645E+00      0.260051E+04      0.304214E+04
       468      0.182097E+00      0.226952E+04      0.229575E+04
       469      0.505376E+00     -0.138292E+02     -0.305488E+02
       470      0.500220E+00     -0.570580E+00     -0.165947E+01
       471      0.500166E+00     -0.432495E+00     -0.166997E+01
       472      0.501729E+00     -0.447981E+01      0.283994E+01
       473      0.500037E+00     -0.959071E-01     -0.166975E+01
       474      0.248768E+00      0.131288E+04      0.126709E+04
       475      0.500663E+00     -0.172067E+01     -0.139306E+01
       476      0.500300E+00     -0.778722E+00     -0.158076E+01
       477      0.501944E+00     -0.503581E+01     -0.145299E+01
       478      0.516265E+00     -0.409557E+02     -0.578346E+02
       479      0.501446E+00     -0.374841E+01     -0.156819E+01
       480      0.500070E+00     -0.181848E+00     -0.167003E+01
       481      0.500817E+00     -0.212172E+01     -0.716534E+00
       482      0.744261E-01      0.743349E+04      0.610279E+04
       483      0.536119E+00     -0.875824E+02     -0.103729E+03
       484      0.526446E+00     -0.653052E+02     -0.389941E+02
       485      0.500066E+00     -0.171539E+00     -0.166999E+01
       486      0.500027E+00     -0.695923E-01     -0.166949E+01
       487      0.500320E+00     -0.832022E+00     -0.166941E+01
       488      0.325924E+00      0.694332E+03      0.647902E+03
